worker_id,timestep,worker_x,worker_y,worker_z,machine_x,machine_y,machine_z,distance_3d,worker_speed,machine_speed,relative_speed,ttc,in_restricted_zone,worker_bpm,fatigue_index,gas_co_ppm,dust_density_mg_m3,ambient_light_lux,risk_level
1,25,137.5,59.95,-300.0,172.77,86.41,-300.0,44.09,0.9,1.44,2.34,18.82,0,80.6,0.147,8.82,1.46,47.9,1
1,26,139.0,59.87,-300.0,173.81,85.98,-300.0,43.52,0.78,3.49,4.27,10.2,0,78.6,0.147,8.84,1.51,47.8,0
1,27,140.5,59.74,-300.0,173.52,84.5,-300.0,41.27,0.92,1.65,2.57,16.06,0,78.3,0.147,9.0,1.57,47.3,0
1,28,142.0,59.57,-300.0,175.04,84.34,-300.0,41.3,0.49,3.52,4.02,10.29,0,78.5,0.146,9.47,1.62,48.0,0
1,29,143.5,59.35,-300.0,174.01,82.24,-300.0,38.14,0.81,4.15,4.96,7.69,0,80.2,0.146,9.72,1.71,48.8,0
1,30,145.0,59.09,-300.0,172.67,79.84,-300.0,34.58,0.61,3.05,3.66,9.46,0,81.0,0.144,9.31,1.57,48.7,0
1,31,146.5,58.8,-300.0,171.96,77.89,-300.0,31.82,0.94,3.7,4.65,6.85,0,80.7,0.146,8.87,1.47,48.7,1
1,32,148.0,58.46,-300.0,170.56,75.38,-300.0,28.2,0.88,2.47,3.35,8.42,0,78.4,0.146,8.49,1.55,48.9,0
1,33,149.5,58.08,-300.0,168.96,72.68,-300.0,24.33,0.61,2.09,2.7,9.01,0,77.5,0.146,8.82,1.48,49.2,0
1,34,151.0,57.67,-300.0,166.67,69.43,-300.0,19.59,1.39,3.37,4.76,4.12,0,77.8,0.145,8.67,1.43,50.3,1
1,35,152.5,57.23,-300.0,166.44,67.68,-300.0,17.42,1.51,3.44,4.95,3.52,0,78.4,0.145,8.63,1.52,50.6,2
1,36,154.0,56.75,-300.0,167.03,66.53,-300.0,16.29,1.39,3.54,4.93,3.3,0,78.6,0.142,8.2,1.67,51.4,1
1,37,155.5,56.25,-300.0,168.5,66.0,-300.0,16.25,1.45,4.46,5.91,2.75,0,79.3,0.146,8.6,1.7,50.9,2
1,38,157.0,55.71,-300.0,169.43,65.04,-300.0,15.54,1.18,4.16,5.34,2.91,0,78.9,0.144,8.44,1.65,51.7,2
1,39,158.5,55.16,-300.0,170.64,64.26,-300.0,15.18,1.68,3.99,5.67,2.68,0,80.8,0.144,8.23,1.81,51.9,2
1,40,160.0,54.57,-300.0,171.79,63.42,-300.0,14.74,1.29,3.85,5.14,2.87,1,80.2,0.143,8.57,1.99,51.1,0
1,41,161.5,53.97,-300.0,172.99,62.59,-300.0,14.37,1.61,3.48,5.09,2.82,1,80.1,0.142,8.34,2.0,50.7,0
1,42,163.0,53.35,-300.0,175.78,62.93,-300.0,15.98,1.55,3.96,5.51,2.9,0,80.1,0.142,8.22,2.07,50.9,2
1,43,164.5,52.71,-300.0,177.74,62.64,-300.0,16.55,1.3,4.08,5.38,3.07,0,81.0,0.14,8.45,2.03,51.1,2
1,44,166.0,52.07,-300.0,178.7,61.6,-300.0,15.88,1.35,2.56,3.9,4.07,0,79.5,0.14,8.57,1.95,51.4,2
1,45,167.5,51.41,-300.0,182.0,62.29,-300.0,18.13,1.17,3.95,5.11,3.54,0,78.5,0.14,8.62,1.89,51.2,1
1,46,169.0,50.75,-300.0,184.86,62.64,-300.0,19.82,1.7,3.54,5.24,3.78,0,79.6,0.139,8.81,2.02,49.9,1
1,47,170.5,50.08,-300.0,188.01,63.22,-300.0,21.89,0.64,2.96,3.6,6.08,0,79.4,0.139,8.64,2.02,49.8,0
1,48,172.0,49.42,-300.0,192.84,65.05,-300.0,26.05,1.03,2.7,3.74,6.97,0,79.7,0.139,8.52,1.98,50.0,1
1,49,173.5,48.75,-300.0,197.97,67.1,-300.0,30.58,0.72,2.73,3.45,8.87,0,81.6,0.14,8.46,2.07,49.8,1
1,50,175.0,48.09,-300.0,201.34,67.85,-300.0,32.92,0.39,1.69,2.09,15.78,0,79.3,0.14,8.51,2.17,50.0,0
1,51,176.5,47.44,-300.0,206.54,69.97,-300.0,37.55,0.76,3.16,3.92,9.58,0,76.9,0.14,8.78,2.04,50.5,0
1,52,178.0,46.81,-300.0,207.66,69.05,-300.0,37.08,0.87,2.17,3.04,12.22,0,77.6,0.142,8.85,2.04,50.3,0
1,53,179.5,46.18,-300.0,213.13,71.41,-300.0,42.04,0.63,3.16,3.79,11.08,0,76.7,0.142,8.72,2.07,50.5,1
1,54,181.0,45.57,-300.0,215.27,71.28,-300.0,42.84,1.01,2.09,3.1,13.82,0,76.5,0.142,8.61,2.08,50.8,0
1,55,182.5,44.99,-300.0,216.9,70.79,-300.0,43.0,0.62,3.2,3.81,11.28,0,77.9,0.142,9.21,2.01,50.2,0
1,56,184.0,44.42,-300.0,218.65,70.41,-300.0,43.32,0.44,3.7,4.14,10.46,0,78.5,0.142,9.27,1.93,51.4,1
1,57,185.5,43.88,-300.0,218.82,68.87,-300.0,41.65,0.83,2.59,3.41,12.2,0,79.1,0.143,9.32,1.86,51.6,0
1,58,187.0,43.37,-300.0,221.45,69.21,-300.0,43.07,1.18,3.58,4.75,9.06,0,80.4,0.142,9.0,1.87,51.5,0
1,59,188.5,42.88,-300.0,223.32,69.0,-300.0,43.53,1.02,1.15,2.16,20.11,0,81.6,0.142,8.87,1.76,50.6,0
1,60,190.0,42.43,-300.0,225.54,69.09,-300.0,44.43,0.96,2.56,3.52,12.61,0,79.7,0.141,8.78,1.9,50.5,0
1,61,191.5,42.01,-300.0,225.76,67.71,-300.0,42.83,0.5,2.3,2.8,15.28,0,79.1,0.138,8.78,1.87,50.8,0
1,62,193.0,41.63,-300.0,227.08,67.19,-300.0,42.6,1.17,3.4,4.57,9.32,0,78.6,0.137,9.57,1.89,50.8,1
1,63,194.5,41.28,-300.0,228.77,66.99,-300.0,42.84,0.8,2.66,3.45,12.4,0,78.3,0.137,9.36,1.88,50.5,0
1,64,196.0,40.98,-300.0,231.18,67.36,-300.0,43.98,0.66,2.59,3.24,13.56,0,77.9,0.138,8.54,1.97,51.1,0
1,65,197.5,40.71,-300.0,232.31,66.81,-300.0,43.51,0.39,2.23,2.61,16.66,0,77.4,0.137,8.34,1.87,51.9,0
1,66,199.0,40.48,-300.0,233.26,66.18,-300.0,42.82,0.99,3.52,4.5,9.51,0,78.1,0.136,8.23,1.92,51.2,1
1,67,200.5,40.3,-300.0,235.42,66.49,-300.0,43.65,0.94,2.31,3.25,13.43,0,77.6,0.137,8.43,1.88,51.8,1
1,68,202.0,40.16,-300.0,236.66,66.15,-300.0,43.32,0.58,2.99,3.58,12.11,0,78.1,0.137,8.57,1.79,52.1,1
1,69,203.5,40.06,-300.0,238.71,66.47,-300.0,44.02,0.76,2.08,2.84,15.47,0,79.0,0.136,8.18,1.66,52.4,2
1,70,205.0,40.01,-300.0,239.15,65.62,-300.0,42.68,0.54,3.9,4.45,9.6,0,76.7,0.138,8.31,1.68,52.0,0
1,71,206.5,40.0,-300.0,240.89,65.79,-300.0,42.98,0.88,2.47,3.35,12.83,0,77.8,0.138,8.41,1.67,51.9,1
1,72,208.0,40.04,-300.0,242.34,65.8,-300.0,42.93,0.86,1.13,1.99,21.54,0,76.4,0.139,8.51,1.64,51.8,0
1,73,209.5,40.12,-300.0,243.16,65.36,-300.0,42.07,0.87,2.07,2.94,14.32,0,75.7,0.139,8.26,1.68,50.9,2
1,74,211.0,40.24,-300.0,245.78,66.33,-300.0,43.48,1.01,2.88,3.88,11.2,0,76.1,0.141,8.82,1.77,49.9,1
1,75,212.5,40.41,-300.0,247.26,66.48,-300.0,43.45,0.54,2.0,2.54,17.08,0,76.3,0.141,8.61,1.78,49.6,1
1,76,214.0,40.62,-300.0,248.6,66.57,-300.0,43.25,0.68,1.37,2.05,21.07,0,75.4,0.14,8.35,1.85,49.1,1
1,77,215.5,40.87,-300.0,249.94,66.71,-300.0,43.06,1.33,2.89,4.22,10.2,0,75.8,0.139,8.61,1.81,49.2,1
1,78,217.0,41.17,-300.0,250.69,66.43,-300.0,42.11,1.31,2.42,3.74,11.27,0,77.1,0.139,8.63,1.95,48.9,1
1,79,218.5,41.5,-300.0,252.83,67.24,-300.0,42.91,1.16,3.07,4.23,10.15,0,76.6,0.139,8.95,2.0,48.2,0
1,80,220.0,41.87,-300.0,254.38,67.65,-300.0,42.97,0.65,2.3,2.96,14.53,0,76.6,0.14,9.01,1.88,48.4,2
1,81,221.5,42.27,-300.0,255.58,67.83,-300.0,42.6,0.92,2.95,3.87,11.01,0,77.7,0.141,9.15,1.88,47.7,0
1,82,223.0,42.71,-300.0,257.49,68.58,-300.0,43.11,0.89,2.67,3.55,12.14,0,77.9,0.14,8.81,1.96,47.8,0
1,83,224.5,43.18,-300.0,259.35,69.32,-300.0,43.57,0.94,2.52,3.46,12.6,0,77.8,0.141,8.67,1.96,47.6,2
1,84,226.0,43.69,-300.0,261.8,70.54,-300.0,44.75,0.71,2.25,2.97,15.09,0,78.0,0.14,9.08,1.87,47.6,0
1,85,227.5,44.22,-300.0,262.21,70.25,-300.0,43.38,0.71,3.66,4.37,9.93,0,78.1,0.137,8.62,1.91,48.2,1
1,86,229.0,44.77,-300.0,263.76,70.84,-300.0,43.45,0.82,3.35,4.17,10.42,0,77.4,0.134,9.34,1.89,48.0,0
1,87,230.5,45.35,-300.0,264.61,70.93,-300.0,42.63,1.09,3.76,4.85,8.78,0,76.8,0.129,9.23,1.8,47.6,1
1,88,232.0,45.95,-300.0,263.63,69.68,-300.0,39.54,0.6,1.89,2.48,15.91,0,76.8,0.125,9.68,1.71,48.2,0
1,89,233.5,46.57,-300.0,264.27,69.65,-300.0,38.46,0.76,2.46,3.22,11.95,0,77.5,0.12,9.74,1.73,48.5,1
1,90,235.0,47.21,-300.0,263.1,68.28,-300.0,35.12,0.86,4.46,5.32,6.6,0,76.8,0.115,9.49,1.73,48.3,1
1,91,236.5,47.85,-300.0,262.9,67.65,-300.0,33.0,1.04,3.64,4.67,7.06,0,76.3,0.11,9.59,1.71,48.7,0
1,92,238.0,48.51,-300.0,259.16,64.38,-300.0,26.45,0.84,1.29,2.13,12.43,0,78.1,0.108,9.36,1.67,48.9,0
1,93,239.5,49.17,-300.0,257.33,62.54,-300.0,22.28,0.87,3.03,3.89,5.72,0,80.2,0.104,9.09,1.58,48.5,0
1,94,241.0,49.83,-300.0,255.07,60.39,-300.0,17.59,1.49,5.44,6.93,2.54,0,79.7,0.1,9.08,1.74,49.9,2
1,95,242.5,50.5,-300.0,252.61,58.09,-300.0,12.64,1.39,3.61,5.0,2.53,1,81.1,0.097,9.63,1.81,49.7,1
1,96,244.0,51.17,-300.0,252.86,57.81,-300.0,11.08,1.62,4.89,6.51,1.7,1,82.3,0.093,9.9,1.95,50.4,2
1,97,245.5,51.82,-300.0,252.04,56.73,-300.0,8.17,1.63,3.87,5.5,1.49,1,83.1,0.09,9.58,1.99,50.2,2
1,98,247.0,52.48,-300.0,252.27,56.43,-300.0,6.59,1.51,5.02,6.53,1.01,1,84.3,0.086,9.13,2.09,50.5,2
1,99,248.5,53.12,-300.0,252.24,55.92,-300.0,4.68,1.93,3.75,5.69,0.82,1,86.4,0.083,9.59,2.08,50.6,2
1,100,250.0,53.74,-300.0,255.28,57.7,-300.0,6.6,1.62,4.15,5.77,1.14,1,86.5,0.079,9.87,2.01,50.7,2
1,101,251.5,54.35,-300.0,254.47,56.58,-300.0,3.71,1.36,4.96,6.32,0.59,1,87.3,0.075,9.91,2.17,50.6,2
1,102,253.0,54.94,-300.0,257.29,58.16,-300.0,5.36,1.39,5.5,6.89,0.78,1,86.9,0.069,9.97,2.15,50.1,2
1,103,254.5,55.51,-300.0,260.09,59.7,-300.0,6.99,1.64,4.2,5.84,1.2,1,86.7,0.064,10.15,2.21,50.0,2
1,104,256.0,56.05,-300.0,259.45,58.64,-300.0,4.31,1.87,3.14,5.01,0.86,1,86.9,0.06,10.05,2.22,49.9,2
1,105,257.5,56.57,-300.0,261.54,59.6,-300.0,5.05,1.57,3.0,4.57,1.1,1,89.5,0.056,10.3,2.23,50.1,2
1,106,259.0,57.06,-300.0,263.39,60.35,-300.0,5.48,1.61,4.36,5.97,0.92,1,90.7,0.058,10.25,2.29,50.1,2
1,107,260.5,57.51,-300.0,264.88,60.8,-300.0,5.48,1.79,3.46,5.25,1.04,1,93.0,0.059,9.72,2.28,49.7,2
1,108,262.0,57.94,-300.0,266.83,61.56,-300.0,6.04,1.67,3.48,5.15,1.17,1,92.5,0.058,9.53,2.07,48.9,2
1,109,263.5,58.32,-300.0,271.17,64.08,-300.0,9.59,1.65,4.63,6.28,1.53,1,92.0,0.058,9.47,2.09,48.4,2
1,110,265.0,58.67,-300.0,274.34,65.68,-300.0,11.68,1.8,4.7,6.5,1.8,1,90.6,0.059,9.5,1.95,48.3,2
1,111,266.5,58.99,-300.0,279.7,68.88,-300.0,16.49,1.36,3.2,4.56,3.62,0,89.0,0.062,9.65,1.91,48.7,1
1,112,268.0,59.26,-300.0,283.5,70.89,-300.0,19.38,1.78,4.74,6.52,2.97,0,87.8,0.062,9.81,1.97,49.2,1
1,113,269.5,59.49,-300.0,289.95,74.83,-300.0,25.56,0.93,3.34,4.27,5.99,0,85.9,0.064,9.8,2.14,48.9,2
1,114,271.0,59.68,-300.0,293.33,76.42,-300.0,27.91,1.15,2.66,3.81,7.33,0,84.1,0.065,9.64,2.16,49.2,0
1,115,272.5,59.83,-300.0,298.32,79.19,-300.0,32.28,0.69,2.48,3.17,10.2,0,85.3,0.067,9.72,2.14,49.3,0
1,116,274.0,59.93,-300.0,303.42,81.99,-300.0,36.77,0.92,1.68,2.6,14.12,0,83.8,0.066,9.78,2.15,49.1,1
1,117,275.5,59.99,-300.0,306.0,82.86,-300.0,38.13,1.11,1.52,2.63,14.48,0,81.3,0.067,10.04,2.25,48.9,1
1,118,277.0,60.0,-300.0,310.24,84.93,-300.0,41.55,1.02,2.47,3.48,11.92,0,80.4,0.069,10.15,2.09,49.7,0
1,119,278.5,59.97,-300.0,313.55,86.26,-300.0,43.81,1.08,2.0,3.08,14.25,0,80.1,0.07,10.13,2.02,49.3,0
1,120,280.0,59.89,-300.0,313.57,85.07,-300.0,41.96,0.79,3.44,4.23,9.91,0,80.1,0.071,10.28,1.79,49.9,1
1,121,281.5,59.77,-300.0,316.21,85.81,-300.0,43.39,0.45,2.21,2.66,16.3,0,78.3,0.07,10.52,1.75,50.1,1
1,122,283.0,59.61,-300.0,317.76,85.68,-300.0,43.45,0.79,2.88,3.67,11.83,0,78.0,0.07,10.7,1.73,49.3,1
1,123,284.5,59.41,-300.0,319.6,85.73,-300.0,43.87,0.71,3.7,4.41,9.94,0,78.5,0.07,10.46,1.73,50.4,2
1,124,286.0,59.16,-300.0,319.8,84.51,-300.0,42.25,0.88,2.84,3.72,11.36,0,79.1,0.071,10.26,1.73,50.3,0
1,125,287.5,58.87,-300.0,321.25,84.19,-300.0,42.19,0.79,3.08,3.87,10.89,0,78.7,0.073,10.14,1.75,49.3,2
1,126,289.0,58.55,-300.0,323.93,84.74,-300.0,43.66,0.98,2.78,3.76,11.61,0,79.3,0.071,10.67,1.75,49.9,1
1,127,290.5,58.18,-300.0,325.28,84.27,-300.0,43.48,0.59,2.99,3.58,12.14,0,77.7,0.071,11.11,1.75,50.0,1
1,128,292.0,57.78,-300.0,326.76,83.85,-300.0,43.44,0.97,2.9,3.87,11.22,0,77.5,0.072,11.67,1.75,50.1,1
1,129,293.5,57.34,-300.0,328.32,83.46,-300.0,43.52,1.01,3.38,4.39,9.9,0,78.4,0.073,11.11,1.91,49.5,1
1,130,295.0,56.88,-300.0,329.16,82.5,-300.0,42.7,0.86,1.9,2.76,15.49,0,77.9,0.075,11.04,1.92,50.4,0
1,131,296.5,56.38,-300.0,331.24,82.43,-300.0,43.43,0.89,2.3,3.2,13.59,0,78.6,0.076,10.51,1.96,50.7,0
1,132,298.0,55.85,-300.0,332.78,81.94,-300.0,43.48,0.74,3.6,4.34,10.02,0,78.0,0.077,10.33,1.97,50.1,0
1,133,299.5,55.3,-300.0,333.64,80.9,-300.0,42.67,0.51,3.78,4.29,9.95,0,76.8,0.077,9.58,1.93,49.5,2
1,134,301.0,54.72,-300.0,336.79,81.56,-300.0,44.74,1.13,3.31,4.44,10.08,0,75.9,0.08,9.83,1.91,48.2,0
1,135,302.5,54.12,-300.0,337.4,80.29,-300.0,43.62,1.26,1.39,2.65,16.48,0,74.2,0.082,10.49,2.0,48.6,2
1,136,304.0,53.51,-300.0,337.83,78.88,-300.0,42.29,0.92,3.18,4.1,10.31,0,75.1,0.083,10.41,1.99,48.3,0
1,137,305.5,52.87,-300.0,340.52,79.13,-300.0,43.77,0.74,1.15,1.89,23.16,0,75.0,0.082,9.96,1.97,49.0,0
1,138,307.0,52.23,-300.0,340.97,77.71,-300.0,42.46,0.98,1.24,2.23,19.07,0,74.1,0.084,9.59,1.92,49.3,0
1,139,308.5,51.57,-300.0,343.6,77.9,-300.0,43.87,0.61,2.58,3.19,13.75,0,72.9,0.084,9.64,1.79,49.6,0
1,140,310.0,50.91,-300.0,345.34,77.42,-300.0,44.17,0.8,2.94,3.74,11.82,0,73.4,0.086,9.63,1.76,49.7,2
1,141,311.5,50.25,-300.0,345.57,75.8,-300.0,42.59,0.91,2.54,3.45,12.35,0,73.7,0.086,9.38,1.66,50.6,0
1,142,313.0,49.58,-300.0,348.21,75.99,-300.0,44.01,0.55,1.95,2.5,17.63,0,73.2,0.088,9.26,1.76,50.2,1
1,143,314.5,48.92,-300.0,349.36,75.06,-300.0,43.57,0.86,1.83,2.69,16.21,0,75.6,0.087,9.33,1.8,50.4,1
1,144,316.0,48.26,-300.0,351.12,74.6,-300.0,43.9,0.76,2.4,3.16,13.9,0,75.7,0.087,9.59,1.98,50.1,2
1,145,317.5,47.6,-300.0,353.31,74.46,-300.0,44.76,0.53,2.43,2.96,15.15,0,78.2,0.087,10.04,2.1,49.8,0
1,146,319.0,46.96,-300.0,353.44,72.79,-300.0,43.05,0.91,3.8,4.72,9.13,0,77.5,0.088,9.78,2.02,49.5,1
1,147,320.5,46.34,-300.0,354.18,71.6,-300.0,42.11,0.56,2.53,3.08,13.66,0,76.5,0.089,9.25,2.04,49.9,0
1,148,322.0,45.72,-300.0,354.35,69.98,-300.0,40.44,0.4,2.8,3.2,12.63,0,77.6,0.088,9.73,2.06,49.6,0
1,149,323.5,45.13,-300.0,353.93,67.95,-300.0,38.03,0.79,2.95,3.74,10.18,0,77.5,0.089,9.4,2.07,48.9,2
1,150,325.0,44.56,-300.0,353.37,65.84,-300.0,35.46,0.78,1.78,2.55,13.88,0,76.6,0.091,9.69,2.08,48.4,1
1,151,326.5,44.01,-300.0,352.25,63.33,-300.0,32.19,0.74,3.47,4.21,7.65,0,76.8,0.094,9.76,2.1,48.3,2
1,152,328.0,43.49,-300.0,350.7,60.52,-300.0,28.38,0.83,2.38,3.2,8.86,0,77.5,0.095,9.46,1.97,47.5,1
1,153,329.5,43.0,-300.0,349.67,58.13,-300.0,25.21,0.9,1.62,2.52,10.01,0,75.4,0.096,10.17,1.95,48.0,1
1,154,331.0,42.54,-300.0,348.12,55.38,-300.0,21.4,0.82,2.42,3.24,6.61,0,76.7,0.097,10.16,1.96,47.7,2
1,155,332.5,42.11,-300.0,348.57,54.17,-300.0,20.09,1.0,2.36,3.36,5.98,0,76.3,0.098,9.8,1.95,47.8,0
1,156,334.0,41.72,-300.0,347.72,52.02,-300.0,17.16,1.72,4.38,6.1,2.81,0,76.7,0.099,10.15,2.02,47.9,2
1,157,335.5,41.37,-300.0,350.71,52.77,-300.0,19.01,1.24,3.15,4.39,4.33,0,76.7,0.099,10.0,2.02,48.3,0
1,158,337.0,41.05,-300.0,350.65,51.29,-300.0,17.06,1.49,4.39,5.88,2.9,0,77.2,0.097,9.64,2.03,47.7,0
1,159,338.5,40.77,-300.0,351.08,50.21,-300.0,15.72,1.62,5.22,6.84,2.3,0,78.9,0.098,10.03,2.08,47.6,2
1,160,340.0,40.54,-300.0,353.13,50.39,-300.0,16.42,1.38,3.76,5.14,3.2,0,78.7,0.098,10.0,2.08,48.0,1
1,161,341.5,40.34,-300.0,355.22,50.63,-300.0,17.15,1.74,4.76,6.5,2.64,0,77.4,0.096,10.2,1.99,47.9,1
1,162,343.0,40.19,-300.0,356.34,50.19,-300.0,16.67,1.27,2.56,3.82,4.36,0,78.3,0.098,9.93,1.77,47.7,1
1,163,344.5,40.08,-300.0,358.42,50.53,-300.0,17.4,1.58,2.82,4.4,3.96,0,78.7,0.098,10.03,1.79,47.3,1
1,164,346.0,40.02,-300.0,360.13,50.62,-300.0,17.66,1.74,3.87,5.61,3.15,0,78.8,0.098,9.82,1.75,47.4,2
1,165,347.5,40.0,-300.0,362.33,51.13,-300.0,18.54,1.84,2.9,4.74,3.91,0,77.3,0.1,9.69,1.71,48.0,2
1,166,349.0,40.03,-300.0,365.02,52.04,-300.0,20.02,0.68,3.96,4.64,4.32,0,78.2,0.1,10.28,1.69,48.4,1
1,167,350.5,40.09,-300.0,368.28,53.43,-300.0,22.22,0.86,3.54,4.4,5.05,0,79.8,0.1,9.95,1.76,48.2,1
1,168,352.0,40.21,-300.0,373.01,55.97,-300.0,26.26,1.2,2.61,3.81,6.89,0,79.2,0.101,9.47,1.69,48.8,0
1,169,353.5,40.37,-300.0,378.08,58.8,-300.0,30.72,0.67,1.66,2.33,13.18,0,79.5,0.103,9.65,1.76,48.5,0
1,170,355.0,40.57,-300.0,381.9,60.74,-300.0,33.63,0.52,3.7,4.22,7.97,0,78.9,0.103,10.0,1.83,48.8,0
1,171,356.5,40.81,-300.0,385.02,62.19,-300.0,35.64,1.23,1.99,3.22,11.08,0,79.5,0.103,10.0,1.94,49.1,0
1,172,358.0,41.09,-300.0,389.61,64.8,-300.0,39.51,0.91,3.36,4.27,9.26,0,78.8,0.103,9.6,1.79,50.2,1
1,173,359.5,41.41,-300.0,392.93,66.48,-300.0,41.78,0.58,2.32,2.9,14.4,0,78.2,0.104,9.8,1.86,49.9,1
1,174,361.0,41.77,-300.0,394.67,67.02,-300.0,42.09,0.77,2.73,3.49,12.05,0,77.7,0.106,9.88,1.92,50.2,0
1,175,362.5,42.17,-300.0,397.19,68.19,-300.0,43.37,1.03,2.64,3.68,11.79,0,76.2,0.107,9.62,1.87,50.5,0
1,176,364.0,42.6,-300.0,398.63,68.57,-300.0,43.29,1.05,2.52,3.56,12.14,0,76.5,0.109,9.64,2.08,50.7,0
1,177,365.5,43.06,-300.0,399.36,68.46,-300.0,42.33,0.45,3.1,3.55,11.92,0,76.8,0.111,9.79,2.06,50.1,1
1,178,367.0,43.56,-300.0,401.82,69.68,-300.0,43.53,0.76,1.82,2.58,16.89,0,76.2,0.112,10.23,2.06,49.5,0
1,179,368.5,44.08,-300.0,403.45,70.3,-300.0,43.69,0.89,3.46,4.35,10.05,0,75.6,0.112,10.13,2.0,49.8,0
1,180,370.0,44.63,-300.0,405.29,71.1,-300.0,44.11,0.78,2.84,3.61,12.21,0,74.8,0.112,10.26,1.97,50.7,0
1,181,371.5,45.21,-300.0,406.77,71.66,-300.0,44.09,0.72,2.68,3.4,12.97,0,75.9,0.111,9.63,1.84,51.3,0
1,182,373.0,45.8,-300.0,406.71,71.09,-300.0,42.14,0.69,4.55,5.24,8.05,0,75.3,0.111,10.04,2.03,52.3,1
1,183,374.5,46.42,-300.0,408.49,71.91,-300.0,42.49,1.04,3.32,4.36,9.74,0,76.0,0.112,9.79,1.97,52.2,0
1,184,376.0,47.05,-300.0,410.92,73.24,-300.0,43.66,0.77,2.14,2.9,15.04,0,76.8,0.114,9.76,2.07,51.5,1
1,185,377.5,47.69,-300.0,412.42,73.88,-300.0,43.65,0.76,1.93,2.69,16.24,0,74.8,0.114,9.66,2.16,51.8,1
